Film,Franchise,Film Rating,Genre,Release Date,Metacritic Score,Production Budget,WW Gross,Wins,Nominations,Oscar Winner,Oscar Nominee,Production Studio,Country of Origin,Length,Director,Sequence,Ratio,Sequel Film,Sequel Film Rating,Sequel Genre,Sequel Release Date,Sequel Production Budget,Sequel WW Gross,Sequel Ratio,Sequel Length,Sequel Director,Sequel Studio,Months Between Releases
Desperado,mariachi,R,Action,1995-08-25,55.0,7000000.0,25405445,1,4,0,0,Columbia Pictures,USA,104,Robert Rodriguez,2,3.6293492857142900,Once Upon a Time in Mexico,R,Action,2003-09-12,29000000.0,98769390,3.4058410344827600,102,Robert Rodriguez,Columbia Pictures,97
The Mask,mask,PG-13,Action,1994-07-29,56.0,23000000.0,351583407,6,20,0,1,Dark Horse Entertainment,USA,101,Chuck Russell,1,15.286235086956500,Son of the Mask,PG,Comedy,2005-02-18,84000000.0,59981548,0.7140660476190480,94,Lawrence Guterman,New Line Cinema,127
The Matrix,matrix,R,Action,1999-03-31,73.0,63000000.0,465343787,37,50,1,1,Warner Bros.,USA,136,Lana Wachowski,1,7.386409317460320,The Matrix Reloaded,R,Action,2003-05-15,150000000.0,741846459,4.94564306,138,Lana Wachowski,Warner Bros.,50
The Matrix Reloaded,matrix,R,Action,2003-05-15,62.0,150000000.0,741846459,8,34,0,0,Warner Bros.,USA,138,Lana Wachowski,2,4.94564306,The Matrix Revolutions,R,Action,2003-11-05,150000000.0,427344031,2.848960206666670,129,Lana Wachowski,Warner Bros.,6
The Maze Runner,maze,PG-13,Action,2014-09-19,57.0,34000000.0,348319861,4,11,0,0,Twentieth Century Fox,USA,113,Wes Ball,1,10.244701794117600,Maze Runner: The Scorch Trials,PG-13,Action,2015-09-18,61000000.0,312296056,5.119607475409840,131,Wes Ball,Gotham Group,12
Maze Runner: The Scorch Trials,maze,PG-13,Action,2015-09-18,43.0,61000000.0,312296056,2,5,0,0,Gotham Group,USA,131,Wes Ball,2,5.119607475409840,Maze Runner: The Death Cure,PG-13,Action,2018-01-26,62000000.0,288175335,4.647989274193550,143,Wes Ball,Gotham Group,28
The Mechanic,mechanic,R,Action,2011-01-28,49.0,40000000.0,76130093,0,1,0,0,CBS Films,USA,93,Simon West,1,1.903252325,Mechanic: Resurrection,R,Action,2016-08-26,40000000.0,125729635,3.143240875,98,Dennis Gansel,Chartoff-Winkler Productions,67
Meet the Parents,meet,PG-13,Comedy,2000-10-06,73.0,55000000.0,330444045,7,14,0,1,Universal Pictures,USA,108,Jay Roach,1,6.008073545454550,Meet the Fockers,PG-13,Comedy,2004-12-22,80000000.0,522657936,6.5332242,115,Jay Roach,Universal Pictures,50
Meet the Fockers,meet,PG-13,Comedy,2004-12-22,41.0,80000000.0,522657936,2,7,0,0,Universal Pictures,USA,115,Jay Roach,2,6.5332242,Little Fockers,PG-13,Comedy,2010-12-22,100000000.0,310650585,3.10650585,98,Paul Weitz,Universal Pictures,72
Men in Black,mib,PG-13,Action,1997-07-02,71.0,90000000.0,589390539,22,39,1,1,Columbia Pictures,USA,98,Barry Sonnenfeld,1,6.548783766666670,Men in Black II,PG-13,Action,2002-07-03,140000000.0,445135288,3.1795377714285700,88,Barry Sonnenfeld,Columbia Pictures,60
Men in Black II,mib,PG-13,Action,2002-07-03,49.0,140000000.0,445135288,4,16,0,0,Columbia Pictures,USA,88,Barry Sonnenfeld,2,3.1795377714285700,Men in Black 3,PG-13,Action,2012-05-25,225000000.0,624026776,2.773452337777780,106,Barry Sonnenfeld,Columbia Pictures,118
Miss Congeniality,miss,PG-13,Action,2000-12-22,43.0,45000000.0,212742720,7,5,0,0,Castle Rock Entertainment,USA,109,Donald Petrie,1,4.727616,Miss Congeniality 2: Armed & Fabulous,PG-13,Action,2005-03-24,45000000.0,101393569,2.253190422222220,115,John Pasquin,Castle Rock Entertainment,51
Mission: Impossible,mission,PG-13,Action,1996-05-22,59.0,80000000.0,457731198,3,17,0,0,Paramount Pictures,USA,110,Brian De Palma,1,5.721639975,Mission: Impossible II,PG-13,Action,2000-05-24,125000000.0,546388108,4.371104864,123,John Woo,Paramount Pictures,48
