Film,Franchise,Film Rating,Genre,Release Date,Metacritic Score,Production Budget,WW Gross,Wins,Nominations,Oscar Winner,Oscar Nominee,Production Studio,Country of Origin,Length,Director,Sequence,Ratio,Sequel Film,Sequel Film Rating,Sequel Genre,Sequel Release Date,Sequel Production Budget,Sequel WW Gross,Sequel Ratio,Sequel Length,Sequel Director,Sequel Studio,Months Between Releases
Star Trek: First Contact,startrek,PG-13,Action,1996-11-22,71.0,45000000.0,146027888,8,20,0,1,Digital Image Associates,USA,111,Jonathan Frakes,8,3.2450641777777800,Star Trek: Insurrection,PG,Action,1998-12-11,58000000.0,112587658,1.9411665172413800,103,Jonathan Frakes,Paramount Pictures,25
Star Trek: Insurrection,startrek,PG,Action,1998-12-11,64.0,58000000.0,112587658,3,8,0,0,Paramount Pictures,USA,103,Jonathan Frakes,9,1.9411665172413800,Star Trek: Nemesis,PG-13,Action,2002-12-13,60000000.0,67336470,1.1222745,116,Stuart Baird,Paramount Pictures,48
Star Trek: Nemesis,startrek,PG-13,Action,2002-12-13,51.0,60000000.0,67336470,1,4,0,0,Paramount Pictures,USA,116,Stuart Baird,10,1.1222745,Star Trek,PG-13,Action,2009-05-08,150000000.0,385680446,2.5712029733333300,127,J.J. Abrams,Paramount Pictures,77
Star Trek,startrek,PG-13,Action,2009-05-08,82.0,150000000.0,385680446,24,93,1,1,Paramount Pictures,USA,127,J.J. Abrams,11,2.5712029733333300,Star Trek Into Darkness,PG-13,Action,2013-05-16,190000000.0,467365246,2.4598170842105300,132,J.J. Abrams,Paramount Pictures,48
Star Trek Into Darkness,startrek,PG-13,Action,2013-05-16,72.0,190000000.0,467365246,7,56,0,1,Paramount Pictures,USA,132,J.J. Abrams,12,2.4598170842105300,Star Trek Beyond,PG-13,Action,2016-07-22,185000000.0,343471816,1.8566044108108100,122,Justin Lin,Paramount Pictures,38
Star Wars: Episode IV - A New Hope,starwar,PG,Action,1977-05-25,90.0,11000000.0,775512064,52,28,1,1,Lucasfilm,USA,121,George Lucas,1,70.50109672727270,Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980-06-20,18000000.0,547897454,30.438747444444400,124,Irvin Kershner,Lucasfilm,37
Star Wars: Episode V - The Empire Strikes Back,starwar,PG,Action,1980-06-20,82.0,18000000.0,547897454,24,20,1,1,Lucasfilm,USA,124,Irvin Kershner,2,30.438747444444400,Star Wars: Episode VI - Return of the Jedi,PG,Action,1983-05-25,32500000.0,475347111,14.626064953846200,131,Richard Marquand,Lucasfilm,35
Star Wars: Episode VI - Return of the Jedi,starwar,PG,Action,1983-05-25,58.0,32500000.0,475347111,22,16,0,1,Lucasfilm,USA,131,Richard Marquand,3,14.626064953846200,Star Wars: Episode I - The Phantom Menace,PG,Action,1999-05-19,115000000.0,1027082707,8.931153973913040,136,George Lucas,Lucasfilm,192
Star Wars: Episode I - The Phantom Menace,starwar,PG,Action,1999-05-19,51.0,115000000.0,1027082707,26,65,0,1,Lucasfilm,USA,136,George Lucas,4,8.931153973913040,Star Wars: Episode II - Attack of the Clones,PG,Action,2002-05-16,115000000.0,653779970,5.685043217391300,142,George Lucas,Lucasfilm,36
Star Wars: Episode II - Attack of the Clones,starwar,PG,Action,2002-05-16,54.0,115000000.0,653779970,19,63,0,1,Lucasfilm,USA,142,George Lucas,5,5.685043217391300,Star Wars: Episode III - Revenge of the Sith,PG-13,Action,2005-05-19,113000000.0,868390560,7.68487221238938,140,George Lucas,Lucasfilm,36
Step Up,step,PG-13,Crime,2006-08-11,48.0,12000000.0,114197742,1,3,0,0,Touchstone Pictures,USA,104,Anne Fletcher,1,9.5164785,Step Up 2: The Streets,PG-13,Drama,2008-02-14,17500000.0,150988382,8.627907542857140,98,Jon M. Chu,Touchstone Pictures,18
Step Up 2: The Streets,step,PG-13,Drama,2008-02-14,50.0,17500000.0,150988382,2,3,0,0,Touchstone Pictures,USA,98,Jon M. Chu,2,8.627907542857140,Step Up 3D,PG-13,Drama,2010-08-06,30000000.0,159291809,5.309726966666670,107,Jon M. Chu,Summit Entertainment,30
Step Up 3D,step,PG-13,Drama,2010-08-06,45.0,30000000.0,159291809,0,2,0,0,Summit Entertainment,USA,107,Jon M. Chu,3,5.309726966666670,Step Up Revolution,PG-13,Drama,2012-07-27,33000000.0,140470746,4.2566892727272700,99,Scott Speer,Summit Entertainment,23
Superman,superman,PG,Action,1978-12-15,80.0,55000000.0,300451603,17,19,0,1,Dovemead Films,USA,143,Richard Donner,1,5.462756418181820,Superman II,PG,Action,1981-06-19,54000000.0,108185706,2.003439,127,Richard Lester,Dovemead Films,30
Superman II,superman,PG,Action,1981-06-19,87.0,54000000.0,108185706,3,7,0,0,Dovemead Films,USA,127,Richard Lester,2,2.003439,Superman III,PG,Action,1983-06-17,39000000.0,59950623,1.5371954615384600,125,Richard Lester,Dovemead Films,24
Superman III,superman,PG,Action,1983-06-17,44.0,39000000.0,59950623,2,7,0,0,Dovemead Films,UK,125,Richard Lester,3,1.5371954615384600,Superman IV: The Quest for Peace,PG,Action,1987-07-24,17000000.0,15681020,0.9224129411764710,90,Sidney J. Furie,Cannon Films,49
Superman IV: The Quest for Peace,superman,PG,Action,1987-07-24,24.0,17000000.0,15681020,2,6,0,0,Cannon Films,UK,90,Sidney J. Furie,4,0.9224129411764710,Superman Returns,PG-13,Action,2006-06-28,270000000.0,391081192,1.4484488592592600,154,Bryan Singer,Warner Bros.,227
Superman Returns,superman,PG-13,Action,2006-06-28,72.0,270000000.0,391081192,12,41,0,1,Warner Bros.,USA,154,Bryan Singer,5,1.4484488592592600,Man of Steel,PG-13,Action,2013-06-14,225000000.0,668045518,2.969091191111110,143,Zack Snyder,Warner Bros.,84
Taken,taken,PG-13,Action,2009-01-30,51.0,25000000.0,226837760,2,2,0,0,EuropaCorp,France,90,Pierre Morel,1,9.0735104,Taken 2,PG-13,Action,2012-10-05,45000000.0,376141306,8.358695688888890,92,Olivier Megaton,EuropaCorp,45
Taken 2,taken,PG-13,Action,2012-10-05,45.0,45000000.0,376141306,1,3,0,0,EuropaCorp,France,92,Olivier Megaton,2,8.358695688888890,Taken 3,PG-13,Action,2015-01-09,48000000.0,326479141,6.801648770833330,108,Olivier Megaton,EuropaCorp,27
Look Who's Talking,talking,PG-13,Comedy,1989-10-13,51.0,7500000.0,296999813,5,2,0,0,TriStar Pictures,USA,93,Amy Heckerling,1,39.599975066666700,Look Who's Talking Now,PG-13,Comedy,1993-11-05,22000000.0,10340263,0.4700119545454550,96,Tom Ropelewski,TriStar Pictures,49
Ted,ted,R,Comedy,2012-06-29,62.0,50000000.0,549368315,13,27,0,1,Universal Pictures,USA,106,Seth MacFarlane,1,10.9873663,Ted 2,R,Comedy,2015-06-26,68000000.0,215863606,3.174464794117650,115,Seth MacFarlane,Universal Pictures,36
The Terminator,terminator,R,Action,1984-10-26,84.0,6400000.0,78475971,7,6,0,0,Cinema '84,UK,107,James Cameron,1,12.26187046875,Terminator 2: Judgment Day,R,Action,1991-07-03,102000000.0,520884847,5.10671418627451,137,James Cameron,Carolco Pictures,81
Terminator 2: Judgment Day,terminator,R,Action,1991-07-03,75.0,102000000.0,520884847,32,33,1,1,Carolco Pictures,USA,137,James Cameron,2,5.10671418627451,Terminator 3: Rise of the Machines,R,Action,2003-07-02,200000000.0,433371112,2.16685556,109,Jonathan Mostow,C-2 Pictures,144
Terminator 3: Rise of the Machines,terminator,R,Action,2003-07-02,66.0,200000000.0,433371112,3,24,0,0,C-2 Pictures,USA,109,Jonathan Mostow,3,2.16685556,Terminator Salvation,PG-13,Action,2009-05-21,200000000.0,371353001,1.856765005,115,McG,The Halcyon Company,70
Think Like a Man,thinkman,PG-13,Comedy,2012-04-20,51.0,12000000.0,96070507,4,13,0,0,Screen Gems,USA,122,Tim Story,1,8.005875583333330,Think Like a Man Too,PG-13,Comedy,2014-06-20,24000000.0,70181428,2.9242261666666700,106,Tim Story,LStar Capital,26
Thor,thor,PG-13,Action,2011-05-06,57.0,150000000.0,449326618,5,30,0,0,Paramount Pictures,USA,115,Kenneth Branagh,1,2.995510786666670,Thor: The Dark World,PG-13,Action,2013-11-08,170000000.0,644783140,3.792842,112,Alan Taylor,Marvel Studios,30
Thor: The Dark World,thor,PG-13,Action,2013-11-08,54.0,170000000.0,644783140,3,21,0,0,Marvel Studios,USA,112,Alan Taylor,2,3.792842,Thor: Ragnarok,PG-13,Action,2017-11-03,180000000.0,853977126,4.7443173666666700,130,Taika Waititi,Walt Disney Pictures,48
Clash of the Titans,titans,PG-13,Action,2010-04-02,39.0,125000000.0,493214993,4,14,0,0,Warner Bros.,USA,106,Louis Leterrier,1,3.945719944,Wrath of the Titans,PG-13,Action,2012-03-30,150000000.0,301970083,2.0131338866666700,99,Jonathan Liebesman,Warner Bros.,23
Toy Story,toy,G,Animation,1995-11-22,95.0,30000000.0,404265438,27,20,0,1,Pixar Animation Studios,USA,81,John Lasseter,1,13.4755146,Toy Story 2,G,Animation,1999-11-24,90000000.0,497374776,5.5263864,92,John Lasseter,Pixar Animation Studios,48
Toy Story 2,toy,G,Animation,1999-11-24,88.0,90000000.0,497374776,21,26,0,1,Pixar Animation Studios,USA,92,John Lasseter,2,5.5263864,Toy Story 3,G,Animation,2010-06-18,200000000.0,1066969703,5.334848515,103,Lee Unkrich,Walt Disney Pictures,127
Toy Story 3,toy,G,Animation,2010-06-18,92.0,200000000.0,1066969703,60,95,1,1,Walt Disney Pictures,USA,103,Lee Unkrich,3,5.334848515,Toy Story 4,G,Animation,2019-06-21,200000000.0,1073394593,5.366972965,100,Josh Cooley,Pixar Animation Studios,108
Trainspotting,train,R,Drama,1996-08-09,83.0,3500000.0,16593356,23,33,0,1,Channel Four Films,UK,93,Danny Boyle,1,4.740958857142860,T2 Trainspotting,R,Drama,2017-03-31,18000000.0,41681746,2.3156525555555600,117,Danny Boyle,Artbees,247
Transformers,transformers,PG-13,Action,2007-07-03,61.0,150000000.0,709709780,20,41,0,1,DreamWorks,USA,144,Michael Bay,1,4.7313985333333300,Transformers: Revenge of the Fallen,PG-13,Action,2009-06-24,200000000.0,836303693,4.181518465,149,Michael Bay,DreamWorks,23
Transformers: Revenge of the Fallen,transformers,PG-13,Action,2009-06-24,35.0,200000000.0,836303693,15,27,0,1,DreamWorks,USA,149,Michael Bay,2,4.181518465,Transformers: Dark of the Moon,PG-13,Action,2011-06-29,195000000.0,1123794079,5.763046558974360,154,Michael Bay,Paramount Pictures,24
Transformers: Dark of the Moon,transformers,PG-13,Action,2011-06-29,42.0,195000000.0,1123794079,10,39,0,1,Paramount Pictures,USA,154,Michael Bay,3,5.763046558974360,Transformers: Age of Extinction,PG-13,Action,2014-06-27,210000000.0,1104054072,5.257400342857140,165,Michael Bay,Paramount Pictures,36
Transformers: Age of Extinction,transformers,PG-13,Action,2014-06-27,32.0,210000000.0,1104054072,5,23,0,0,Paramount Pictures,USA,165,Michael Bay,4,5.257400342857140,Transformers: The Last Knight,PG-13,Action,2017-06-21,217000000.0,605425157,2.78997768202765,154,Michael Bay,Paramount Pictures,36
The Transporter,transport,PG-13,Action,2002-10-11,51.0,21000000.0,43928932,0,2,0,0,EuropaCorp,France,92,Louis Leterrier,1,2.091853904761910,Transporter 2,PG-13,Action,2005-09-02,32000000.0,89083229,2.78385090625,87,Louis Leterrier,EuropaCorp,35
Transporter 2,transport,PG-13,Action,2005-09-02,56.0,32000000.0,89083229,0,2,0,0,EuropaCorp,France,87,Louis Leterrier,2,2.78385090625,Transporter 3,PG-13,Action,2008-11-26,30000000.0,108979549,3.6326516333333300,104,Olivier Megaton,EuropaCorp,38
National Treasure,treasure,PG,Action,2004-11-19,39.0,100000000.0,347512318,1,9,0,0,Walt Disney Pictures,USA,131,Jon Turteltaub,1,3.47512318,National Treasure: Book of Secrets,PG,Action,2007-12-21,130000000.0,459242249,3.532632684615390,124,Jon Turteltaub,Walt Disney Pictures,37
Teenage Mutant Ninja Turtles,turtle,PG-13,Action,2014-08-08,31.0,125000000.0,485004754,1,10,0,0,Paramount Pictures,USA,101,Jonathan Liebesman,1,3.880038032,Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,Action,2016-06-03,135000000.0,245623848,1.8194359111111100,112,Dave Green,Paramount Pictures,22
Twilight,twilight,PG-13,Drama,2008-11-21,56.0,37000000.0,408424673,29,15,0,0,Summit Entertainment,USA,122,Catherine Hardwicke,1,11.038504675675700,The Twilight Saga: New Moon,PG-13,Drama,2009-11-20,50000000.0,711020081,14.22040162,130,Chris Weitz,Temple Hill Entertainment,12
The Twilight Saga: New Moon,twilight,PG-13,Drama,2009-11-20,44.0,50000000.0,711020081,20,24,0,0,Temple Hill Entertainment,USA,130,Chris Weitz,2,14.22040162,The Twilight Saga: Eclipse,PG-13,Adventure,2010-06-30,68000000.0,698491347,10.271931573529400,124,David Slade,Summit Entertainment,7
The Twilight Saga: Eclipse,twilight,PG-13,Adventure,2010-06-30,58.0,68000000.0,698491347,22,34,0,0,Summit Entertainment,USA,124,David Slade,3,10.271931573529400,The Twilight Saga: Breaking Dawn - Part 1,PG-13,Adventure,2011-11-18,110000000.0,712205856,6.474598690909090,117,Bill Condon,Summit Entertainment,17
The Twilight Saga: Breaking Dawn - Part 1,twilight,PG-13,Adventure,2011-11-18,45.0,110000000.0,712205856,11,22,0,0,Summit Entertainment,USA,117,Bill Condon,4,6.474598690909090,The Twilight Saga: Breaking Dawn - Part 2,PG-13,Adventure,2012-11-16,120000000.0,829746820,6.914556833333330,115,Bill Condon,Summit Entertainment,12
Unbreakable,unbreakable,PG-13,Drama,2000-11-22,62.0,75000000.0,248118121,2,13,0,0,Touchstone Pictures,USA,106,M. Night Shyamalan,1,3.308241613333330,Split,PG-13,Horror,2017-01-20,9000000.0,278454358,30.93937311111110,117,M. Night Shyamalan,Universal Pictures,194
Split,unbreakable,PG-13,Horror,2017-01-20,62.0,9000000.0,278454358,9,21,0,0,Universal Pictures,USA,117,M. Night Shyamalan,2,30.93937311111110,Glass,PG-13,Drama,2019-01-18,20000000.0,246999039,12.34995195,129,M. Night Shyamalan,Universal Pictures,24
Underworld,underworld,R,Action,2003-09-19,42.0,22000000.0,95708457,1,10,0,0,Lakeshore Entertainment,USA,121,Len Wiseman,1,4.350384409090910,Underworld: Evolution,R,Action,2006-01-20,50000000.0,111476513,2.22953026,106,Len Wiseman,Screen Gems,28
Underworld: Evolution,underworld,R,Action,2006-01-20,36.0,50000000.0,111476513,2,6,0,0,Screen Gems,USA,106,Len Wiseman,2,2.22953026,Underworld: Rise of the Lycans,R,Action,2009-01-23,35000000.0,92158961,2.6331131714285700,92,Patrick Tatopoulos,Screen Gems,36
Underworld: Rise of the Lycans,underworld,R,Action,2009-01-23,44.0,35000000.0,92158961,2,6,0,0,Screen Gems,USA,92,Patrick Tatopoulos,3,2.6331131714285700,Underworld Awakening,R,Action,2012-01-20,70000000.0,160112671,2.2873238714285700,88,Måns Mårlind,Screen Gems,36
Universal Soldier,universal,R,Action,1992-07-10,35.0,23000000.0,36299898,0,4,0,0,StudioCanal,USA,102,Roland Emmerich,1,1.5782564347826100,Universal Soldier: The Return,R,Action,1999-08-20,45000000.0,10667893,0.2370642888888890,83,Mic Rodgers,Baumgarten-Prophet Entertainment,85
Urban Legend,urban,R,Horror,1998-09-25,35.0,14000000.0,72527595,1,2,0,0,Phoenix Pictures,USA,99,Jamie Blanks,1,5.1805425,Urban Legends: Final Cut,R,Horror,2000-09-22,14000000.0,38574362,2.7553115714285700,97,John Ottman,Phoenix Pictures,24
Wall Street,wall,R,Crime,1987-12-11,56.0,15000000.0,43848069,9,5,1,1,Twentieth Century Fox,USA,126,Oliver Stone,1,2.9232046,Wall Street: Money Never Sleeps,PG-13,Drama,2010-09-24,70000000.0,134748021,1.9249717285714300,133,Oliver Stone,Twentieth Century Fox,273
Wayne's World,wayne,PG-13,Comedy,1992-02-14,57.0,20000000.0,183097323,4,5,0,0,Paramount Pictures,USA,94,Penelope Spheeris,1,9.15486615,Wayne's World 2,PG-13,Comedy,1993-12-10,40000000.0,48197805,1.204945125,95,Stephen Surjik,Paramount Pictures,22
White Noise,whitenoise,PG-13,Drama,2005-01-07,30.0,10000000.0,91196419,1,2,0,0,Universal Pictures,UK,101,Geoffrey Sax,1,9.1196419,White Noise 2: The Light,PG-13,Drama,2007-01-05,10000000.0,8526917,0.8526917,99,Patrick Lussier,Brightlight Pictures,24
John Wick,wick,R,Action,2014-10-24,68.0,20000000.0,86013056,5,8,0,0,Summit Entertainment,USA,101,Chad Stahelski,1,4.3006528,John Wick: Chapter 2,R,Action,2017-02-10,40000000.0,171539887,4.288497175,122,Chad Stahelski,Summit Entertainment,28
John Wick: Chapter 2,wick,R,Action,2017-02-10,75.0,40000000.0,171539887,4,6,0,0,Summit Entertainment,Hong Kong,122,Chad Stahelski,2,4.288497175,John Wick: Chapter 3 - Parabellum,R,Action,2019-05-17,75000000.0,326709727,4.356129693333330,131,Chad Stahelski,Lionsgate,27
The Woman in Black,woman,PG-13,Drama,2012-02-03,62.0,17000000.0,128955898,5,14,0,0,CBS Films,UK,95,James Watkins,1,7.585641058823530,The Woman in Black 2: Angel of Death,PG-13,Drama,2015-01-02,15000000.0,48854305,3.2569536666666700,98,Tom Harper,Alliance Films,35
The X Files,xfile,PG-13,Drama,1998-06-19,60.0,66000000.0,189176423,7,11,0,0,Twentieth Century Fox,USA,121,Rob Bowman,1,2.8663094393939400,The X Files: I Want to Believe,PG-13,Drama,2008-07-25,30000000.0,69363381,2.3121127,104,Chris Carter,Twentieth Century Fox,121
X-Men,xmen,PG-13,Action,2000-07-14,64.0,75000000.0,296339528,13,27,0,0,Twentieth Century Fox,USA,104,Bryan Singer,1,3.9511937066666700,X2: X-Men United,PG-13,Action,2003-05-02,110000000.0,407711549,3.706468627272730,134,Bryan Singer,Twentieth Century Fox,34
X2: X-Men United,xmen,PG-13,Action,2003-05-02,68.0,110000000.0,407711549,6,41,0,0,Twentieth Century Fox,Canada,134,Bryan Singer,2,3.706468627272730,X-Men: The Last Stand,PG-13,Action,2006-05-26,210000000.0,460435291,2.1925490047619000,104,Brett Ratner,Twentieth Century Fox,36
X-Men: The Last Stand,xmen,PG-13,Action,2006-05-26,58.0,210000000.0,460435291,7,37,0,0,Twentieth Century Fox,Canada,104,Brett Ratner,3,2.1925490047619000,X-Men Origins: Wolverine,PG-13,Action,2009-05-01,150000000.0,373062864,2.48708576,107,Gavin Hood,Twentieth Century Fox,36
X-Men Origins: Wolverine,xmen,PG-13,Action,2009-05-01,40.0,150000000.0,373062864,3,18,0,0,Twentieth Century Fox,USA,107,Gavin Hood,4,2.48708576,X: First Class,PG-13,Action,2011-06-03,160000000.0,352616690,2.2038543125,131,Matthew Vaughn,Twentieth Century Fox,25
X: First Class,xmen,PG-13,Action,2011-06-03,65.0,160000000.0,352616690,21,39,0,0,Twentieth Century Fox,USA,131,Matthew Vaughn,5,2.2038543125,The Wolverine,PG-13,Action,2013-07-26,120000000.0,414828246,3.45690205,126,James Mangold,Twentieth Century Fox,25
The Wolverine,xmen,PG-13,Action,2013-07-26,61.0,120000000.0,414828246,2,11,0,0,Twentieth Century Fox,USA,126,James Mangold,6,3.45690205,X-Men: Days of Future Past,PG-13,Action,2014-05-23,200000000.0,746045700,3.7302285,132,Bryan Singer,Twentieth Century Fox,10
xXx,xxx,PG-13,Action,2002-08-09,48.0,70000000.0,277448382,4,14,0,0,Revolution Studios,USA,124,Rob Cohen,1,3.963548314285710,xXx: State of the Union,PG-13,Action,2005-04-29,60000000.0,71022693,1.18371155,101,Lee Tamahori,Columbia Pictures,32
The Whole Nine Yards,yards,R,Comedy,2000-02-18,47.0,41300000.0,106371651,0,6,0,0,Franchise Pictures,USA,98,Jonathan Lynn,1,2.575584769975790,The Whole Ten Yards,PG-13,Comedy,2004-04-09,40000000.0,26170671,0.654266775,98,Howard Deutch,Nine Yards Two Productions,50
Zombieland,zombieland,R,Adventure,2009-10-02,73.0,23600000.0,102392080,10,28,0,0,Columbia Pictures,USA,88,Ruben Fleischer,1,4.338647457627120,Zombieland: Double Tap,R,Action,2019-10-18,42000000.0,122810399,2.9240571190476200,99,Ruben Fleischer,2.0 Entertainment,120
Zoolander,zoolander,PG-13,Comedy,2001-09-28,61.0,28000000.0,60780981,1,11,0,0,Paramount Pictures,Germany,90,Ben Stiller,1,2.1707493214285700,Zoolander 2,PG-13,Action,2016-02-12,50000000.0,56722693,1.13445386,101,Ben Stiller,Panorama Films,173
The Mask of Zorro,zorro,PG-13,Action,1998-07-17,63.0,95000000.0,250288523,9,16,0,1,TriStar Pictures,USA,136,Martin Campbell,1,2.6346160315789500,The Legend of Zorro,PG,Action,2005-10-28,75000000.0,142400065,1.8986675333333300,129,Martin Campbell,Columbia Pictures,87
